event_time_binned,mean_deaths,se_deaths,n_states
-10,5.4294170403569195,0.755998613980641,30
-9,4.949778643131545,0.6340059381429796,30
-8,4.79917175391956,0.5468160365648117,30
-7,4.713807605525558,0.5810761577622999,30
-6,4.86452613326106,0.6382765934167929,27
-5,4.815931258026071,0.6739785299478587,27
-4,4.86574992292366,0.6651079864155353,27
-3,5.006957877351211,0.6705739271601242,25
-2,5.163808254390254,0.6775426066511585,24
-1,5.255828064890125,0.753140673364448,23
