"Model","h1","h2","h3","Avg_MSPE","Selected"
"Linear",2.66990194087635,2.78601503461606,3.0219599313727,2.82595896895504,""
"Quadratic",0.375325857520306,0.579652270370682,1.15353399458093,0.702837374157305,""
"Spline (df=4)",0.152819358703262,0.329962835513554,1.10832140003477,0.530367864750527,"✓"
